ncand,n_far,is_top1,beats_far,pct_far,margin_far,displacement,d_assigned,L,locus_len,chance,pair
9,4,False,True,0.0,0.043195936927765556,216.0,0.05654012592886632,248,1226,0.2,hg38_vs_mm39
22,17,False,True,0.0,0.0041719970621752756,72.0,0.0832025837746946,168,1883,0.05555555555555555,hg38_vs_mm39
13,8,True,True,0.0,0.12433344140288108,0.0,0.061143125966505334,168,1128,0.1111111111111111,hg38_vs_mm39
8,5,True,True,0.0,0.03598717057070986,0.0,0.04859273681628804,928,4078,0.16666666666666666,hg38_vs_mm39
34,29,False,True,0.0,0.016318707970166296,116.0,0.07802436761897377,128,2212,0.03333333333333333,hg38_vs_mm39
31,26,False,False,0.3076923076923077,-0.015237365071068862,216.0,0.0491568676075999,248,3933,0.037037037037037035,hg38_vs_mm39
42,37,False,True,0.0,0.0027703307433421948,136.0,0.0530682568481767,208,4450,0.02631578947368421,hg38_vs_mm39
16,11,False,False,0.45454545454545453,-0.0503568261467742,312.0,0.0750294227087158,288,2433,0.08333333333333333,hg38_vs_mm39
19,14,False,True,0.0,0.0713590233201739,192.0,0.0731674142728647,368,3602,0.06666666666666667,hg38_vs_mm39
42,37,False,False,0.05405405405405406,-0.0026694533630533396,32.0,0.07316354142647852,288,6089,0.02631578947368421,hg38_vs_mm39
15,10,False,True,0.0,0.062033245748452384,73.0,0.031437002020139465,208,1623,0.09090909090909091,hg38_vs_mm39
5,2,False,True,0.0,0.20456747920707175,46.0,0.04994771728899466,448,1206,0.3333333333333333,hg38_vs_mm39
11,6,True,True,0.0,0.09718778048709606,0.0,0.015758590867552935,448,2567,0.14285714285714285,hg38_vs_mm39
10,5,True,True,0.0,0.17027970377301768,0.0,0.025308987795074005,208,1194,0.16666666666666666,hg38_vs_mm39
30,25,False,False,0.16,-0.01309863346981139,127.0,0.051200344506224287,248,3745,0.038461538461538464,hg38_vs_mm39
22,17,False,False,0.11764705882352941,-0.019296147971795866,2660.0,0.08657502268756483,768,8740,0.05555555555555555,hg38_vs_mm39
29,24,False,True,0.0,0.046133012362959275,6.0,0.07844523246129433,208,3106,0.04,hg38_vs_mm39
6,3,False,True,0.0,0.0008438662168179754,508.0,0.017257222945108425,808,2695,0.25,hg38_vs_mm39
12,7,False,True,0.0,0.03682025205319129,104.0,0.03193686946074394,208,1412,0.125,hg38_vs_mm39
12,7,False,True,0.0,0.046203833494543246,84.0,0.06048294682107117,208,1324,0.125,hg38_vs_mm39
13,8,False,True,0.0,0.06519732236210726,57.0,0.031657257117934386,208,1449,0.1111111111111111,hg38_vs_mm39
29,24,False,True,0.0,0.003849675905915964,123.0,0.06991864000866752,168,2449,0.04,hg38_vs_mm39
26,21,False,False,0.047619047619047616,-0.0031906217895988145,96.0,0.04564050429313023,368,4784,0.045454545454545456,hg38_vs_mm39
20,15,False,True,0.0,0.11011142182438574,88.0,0.01433406032244178,248,2520,0.0625,hg38_vs_mm39
18,14,False,False,0.07142857142857142,-0.002466601258702003,776.0,0.0801956034350599,368,3422,0.06666666666666667,hg38_vs_mm39
27,22,False,False,0.5,-0.039470861178440925,1900.0,0.10423222566837095,248,3444,0.043478260869565216,hg38_vs_mm39
11,6,False,False,0.16666666666666666,-0.005738423667735665,259.0,0.039796792855009,328,1821,0.14285714285714285,hg38_vs_mm39
26,21,False,False,0.5238095238095238,-0.034122268587908185,1984.0,0.06292491557301995,288,3874,0.045454545454545456,hg38_vs_mm39
12,7,True,True,0.0,0.07206253353636483,0.0,0.017653645466867717,288,1861,0.125,hg38_vs_mm39
6,3,False,False,1.0,-0.012274388332601596,636.0,0.09201293471808299,408,1415,0.25,hg38_vs_mm39
8,4,False,False,0.5,-0.009635163171596878,1276.0,0.05995111389343775,488,1996,0.2,hg38_vs_mm39
12,8,False,False,0.25,-0.01658734362597001,1520.0,0.06990862796510042,328,2069,0.1111111111111111,hg38_vs_mm39
53,48,True,True,0.0,0.07301729348378223,0.0,0.02001449167612138,248,6595,0.02040816326530612,hg38_vs_mm39
46,41,False,False,0.12195121951219512,-0.014369215655519102,2700.0,0.039153449438015527,488,11278,0.023809523809523808,hg38_vs_mm39
18,13,False,True,0.0,0.00819720466811076,48.0,0.0786975802123742,128,1154,0.07142857142857142,hg38_vs_mm39
9,4,False,True,0.0,0.09965183804307882,131.0,0.03406839255753054,248,1151,0.2,hg38_vs_mm39
14,9,False,False,0.1111111111111111,-0.01267470628888094,275.0,0.06788613481003462,288,2091,0.1,hg38_vs_mm39
6,1,False,True,0.0,0.06534813934491576,8.0,0.014245215693568618,728,2276,0.5,hg38_vs_mm39
6,2,False,False,1.0,-0.006326797409710573,912.0,0.04012909975594359,1168,3945,0.3333333333333333,hg38_vs_mm39
20,15,False,False,0.13333333333333333,-0.017251487673040113,198.0,0.07321748729456198,248,2510,0.0625,hg38_vs_mm39
18,13,False,False,0.07692307692307693,-0.001022470274240645,176.0,0.030960530811501755,328,3018,0.07142857142857142,hg38_vs_mm39
8,3,False,False,0.6666666666666666,-0.00773202610325561,716.0,0.02109642043288598,648,2780,0.25,hg38_vs_mm39
24,19,False,False,0.42105263157894735,-0.056155138532516,1460.0,0.09222802327984603,248,3040,0.05,hg38_vs_mm39
14,9,False,False,0.5555555555555556,-0.006364474611611624,1775.0,0.038011714027193125,648,4593,0.1,hg38_vs_mm39
6,1,False,True,0.0,0.1409278704374776,38.0,0.015412666419793173,408,1334,0.5,hg38_vs_mm39
8,3,False,True,0.0,0.04854410672817662,60.0,0.08845129865659533,568,2476,0.25,hg38_vs_mm39
8,3,False,True,0.0,0.08622800249619023,99.0,0.03347098564300705,248,1079,0.25,hg38_vs_mm39
20,15,False,False,0.2,-0.012126165915225924,790.0,0.06846482661710905,408,4122,0.0625,hg38_vs_mm39
6,2,True,True,0.0,0.048047415934739615,0.0,0.006341174140201564,928,2994,0.3333333333333333,hg38_vs_mm39
7,2,False,True,0.0,0.06697390613176935,92.0,0.03888182034821724,328,1171,0.3333333333333333,hg38_vs_mm39
29,24,False,False,0.041666666666666664,-0.006867720481672557,82.0,0.06353280718932279,128,1914,0.04,hg38_vs_mm39
10,5,False,False,0.4,-0.06117770882626131,256.0,0.07281071094366787,288,1547,0.16666666666666666,hg38_vs_mm39
28,23,False,True,0.0,0.126898660997259,120.0,0.08215472641233192,208,2999,0.041666666666666664,hg38_vs_mm39
6,1,True,True,0.0,0.10906127095157701,0.0,0.05456769123104739,408,1332,0.5,hg38_vs_mm39
